tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c
210,90,200,90,80,145,420,530,1.0030138875658434,0.9912842347974147,27,1,0,none,long,-2.78343949044586,314,-874.0,0.4840764331210191,0.9308763049667826,77.4342105263158,-80.0253164556962,1948.0
180,120,25,220,90,50,410,660,0.9869568522531249,0.9412304046051931,27,1,0,none,long,-2.7884892086330937,695,-1938.0,0.4748201438848921,0.9542665659807438,122.53939393939395,-118.03899721448468,5321.0
300,120,155,260,80,165,90,470,0.9024162536590916,0.9519120879418846,28,1,1,none,long,-2.7923832923832923,814,-2273.0,0.5196560196560197,0.9758214639023923,216.86997635933807,-241.04871794871795,15170.0
210,90,200,195,80,195,440,590,0.9952569086167362,1.0017586277546964,26,1,1,none,long,-2.803754266211604,586,-1643.0,0.47952218430034127,0.9539492123997982,121.12099644128114,-118.53156146179403,6657.0
210,120,170,180,90,160,210,470,0.9931626436316051,0.9674002270075605,11,1,0,none,long,-2.8195679796696314,787,-2219.0,0.5120711562897078,0.971095856508317,184.99255583126552,-201.498687664042,12528.0
210,90,140,275,80,170,290,660,0.923505634734418,0.9054477022750697,5,1,1,none,long,-2.823019801980198,808,-2281.0,0.49504950495049505,0.9699342270025175,183.965,-189.1945137157107,14417.0
240,120,20,185,5,130,410,600,0.9719743497560053,0.9526170589154319,8,1,0,none,long,-2.8232558139534882,645,-1821.0,0.4930232558139535,0.9353544676772338,82.85534591194968,-88.86119873817034,3889.0
240,90,220,20,80,155,370,510,0.9751086783404813,0.9424386693152915,18,1,0,none,long,-2.8320251177394034,637,-1804.0,0.4850863422291994,0.93400885247101,82.63106796116504,-84.63467492260062,4853.0
300,120,20,240,20,165,460,640,0.9516816817134627,0.9838806698595276,12,1,0,none,long,-2.839243498817967,846,-2402.0,0.49763593380614657,0.9511291963377416,111.04038004750593,-117.02380952380952,6803.0
150,120,105,115,30,105,490,660,0.9332765218225156,0.9609038999289033,30,1,1,none,long,-2.874285714285714,700,-2012.0,0.47714285714285715,0.9518164619105779,118.99700598802396,-115.67036011080333,5219.0
180,120,70,255,75,65,240,560,1.0167996092309233,0.9877638121106139,11,1,1,none,long,-2.88659793814433,485,-1400.0,0.5175257731958763,0.9764087355082233,230.85258964143426,-255.79310344827587,10161.0
240,120,145,45,95,145,150,310,0.9227691441691012,0.9315751984316855,30,1,1,none,long,-2.900129701686122,771,-2236.0,0.5201037613488976,0.9589845183065522,130.37406483790522,-148.95081967213116,9431.0
240,120,55,105,30,45,420,590,0.9015016517437949,0.9243216212087297,20,1,0,none,long,-2.9097744360902253,665,-1935.0,0.47218045112781953,0.9346813394544964,88.18152866242038,-86.36734693877551,5480.0
210,90,125,165,90,150,210,380,0.9144939499414987,0.9016233081992467,15,1,0,none,long,-2.9272503082614056,811,-2374.0,0.5067817509247842,0.9656449885676247,162.35523114355232,-172.755,10018.0
120,90,60,200,85,25,410,570,0.9103845862980541,0.9335273946737874,30,1,1,none,long,-2.937984496124031,774,-2274.0,0.48578811369509045,0.9468045288668475,107.6436170212766,-109.05102040816327,7068.0
210,60,50,45,60,195,460,690,0.9724857061458949,0.9268082201432668,7,1,1,none,long,-2.938684503901895,897,-2636.0,0.47045707915273133,0.9515467896990975,122.67061611374407,-115.26059322033899,9758.0
210,90,85,90,90,155,150,320,0.93079178248184,0.9024325263428038,9,1,0,none,long,-2.955032119914347,934,-2760.0,0.5224839400428265,0.9586492074431426,131.11885245901638,-151.00904977375566,7959.0
210,120,20,225,60,60,420,530,0.9345392030815499,0.9080118638914394,15,1,0,none,long,-2.984126984126984,630,-1880.0,0.48253968253968255,0.9338680174475869,87.32894736842105,-89.9620253164557,5187.0
240,120,180,25,55,60,210,550,0.9546164958859523,0.9343886140253551,26,1,1,none,long,-2.9919028340080973,741,-2217.0,0.4979757085020243,0.9716474409801263,205.89972899728997,-211.90785907859077,14723.0
240,120,240,45,70,195,250,590,0.9534535995923469,0.9720719615836351,15,1,1,none,long,-2.9929873772791025,713,-2134.0,0.49368863955119213,0.9636957520287167,160.92897727272728,-165.11516853932585,14165.0
300,45,70,255,30,75,360,430,1.0092647799202266,0.9749919325842499,23,1,0,none,long,-2.9971098265895955,346,-1037.0,0.4913294797687861,0.9561485115020297,133.00588235294117,-134.36363636363637,5756.0
210,120,20,85,95,190,440,610,0.9081553599239957,0.9235773694978295,29,1,1,none,long,-3.0177133655394526,621,-1874.0,0.4830917874396135,0.9374436692592716,93.61,-96.01602564102564,4393.0
210,120,265,290,85,150,340,460,0.9692616946113092,0.906460026028761,25,1,0,none,long,-3.0283159463487332,671,-2032.0,0.5052160953800298,0.9577071972692835,135.73451327433628,-146.48170731707316,11735.0
150,120,220,105,10,155,420,650,0.9905943984482742,0.9696905215398411,12,1,0,none,long,-3.033628318584071,565,-1714.0,0.48849557522123893,0.952945698127711,125.76811594202898,-127.36363636363636,6769.0
300,45,65,60,95,100,180,250,0.9176780470834995,0.949738076157573,13,1,0,none,long,-3.0676020408163267,784,-2405.0,0.5344387755102041,0.9372455902306649,85.72553699284009,-106.75208913649026,6946.0
300,120,50,35,25,15,390,560,1.0056584979208714,0.9147223787632761,28,1,1,none,long,-3.081168831168831,308,-949.0,0.4805194805194805,0.9382000520969003,97.3445945945946,-99.07096774193549,5105.0
