entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason
2014-06-25 12:59:00,2014-06-26 12:59:00,135120.0,132250.0,19,-54530.0,signal_reverse
2014-07-03 12:59:00,2014-07-04 12:59:00,134820.0,134230.0,25,-14750.0,signal_reverse
2014-07-08 12:59:00,2014-07-09 12:59:00,136970.0,135090.0,21,-39480.0,signal_reverse
2014-08-12 12:59:00,2014-08-20 12:59:00,120580.0,124510.0,18,70740.0,signal_reverse
2014-10-31 12:59:00,2014-11-05 10:59:00,109840.0,104370.0,15,-82050.0,stop_loss
2014-11-21 12:59:00,2014-11-26 12:59:00,103880.0,102140.0,26,-45240.0,signal_reverse
2014-12-26 12:59:00,2014-12-29 12:59:00,82430.0,80400.0,13,-26390.0,signal_reverse
2015-01-19 12:59:00,2015-01-20 13:59:00,78140.0,75380.0,16,-44160.0,signal_reverse
2015-01-22 12:59:00,2015-01-26 12:59:00,78590.0,76850.0,21,-36540.0,signal_reverse
2015-02-03 12:59:00,2015-02-05 12:59:00,76410.0,76200.0,13,-2730.0,signal_reverse
2015-02-06 12:59:00,2015-02-13 12:59:00,82020.0,88880.0,14,96040.0,signal_reverse
2015-02-26 12:59:00,2015-02-26 13:59:00,91380.0,91420.0,20,800.0,signal_reverse
2015-03-03 12:59:00,2015-03-04 13:59:00,92390.0,90500.0,18,-34020.0,signal_reverse
2015-03-25 12:59:00,2015-03-27 12:59:00,87690.0,84710.0,22,-65560.0,signal_reverse
2015-04-01 12:59:00,2015-04-09 12:59:00,87960.0,98670.0,24,257040.0,signal_reverse
2015-04-24 12:59:00,2015-04-28 12:59:00,103670.0,100400.0,17,-55590.0,signal_reverse
2015-05-06 12:59:00,2015-05-07 12:59:00,106450.0,104020.0,18,-43740.0,signal_reverse
2015-05-13 12:59:00,2015-05-14 12:59:00,107060.0,105070.0,20,-39800.0,signal_reverse
2015-05-18 12:59:00,2015-05-19 12:59:00,107640.0,105250.0,26,-62140.0,signal_reverse
2015-06-18 12:59:00,2015-06-19 12:59:00,95690.0,93460.0,23,-51290.0,signal_reverse
2015-06-22 12:59:00,2015-06-23 12:59:00,95600.0,93100.0,27,-67500.0,signal_reverse
2015-07-15 12:59:00,2015-07-15 13:59:00,90830.0,90400.0,30,-12900.0,signal_reverse
2015-07-16 12:59:00,2015-07-20 12:59:00,90610.0,90830.0,31,6820.0,signal_reverse
2015-08-11 12:59:00,2015-08-12 13:25:00,84640.0,82550.0,24,-50160.0,signal_reverse
2015-09-01 12:59:00,2015-09-02 12:59:00,82900.0,79430.0,15,-52050.0,signal_reverse
2015-09-18 12:59:00,2015-09-21 15:15:00,82730.0,81420.0,24,-31440.0,signal_reverse
2015-10-06 12:59:00,2015-10-13 12:59:00,80460.0,85230.0,28,133560.0,signal_reverse
2015-11-03 12:59:00,2015-11-09 12:59:00,86430.0,86120.0,28,-8680.0,signal_reverse
2015-11-17 12:59:00,2015-11-19 12:59:00,85860.0,88740.0,22,63360.0,signal_reverse
2015-12-24 12:59:00,2015-12-24 13:59:00,78500.0,78180.0,40,-12800.0,signal_reverse
2015-12-25 12:59:00,2015-12-25 13:59:00,78090.0,77830.0,39,-10140.0,signal_reverse
2016-01-27 12:59:00,2016-02-02 12:59:00,68960.0,70790.0,19,34770.0,signal_reverse
2016-02-04 12:59:00,2016-02-05 12:59:00,73440.0,73660.0,18,3960.0,signal_reverse
2016-02-17 12:59:00,2016-02-20 12:59:00,72340.0,73400.0,24,25440.0,signal_reverse
2016-02-20 13:59:00,2016-02-22 12:59:00,73600.0,74950.0,29,39150.0,signal_reverse
2016-02-26 12:59:00,2016-02-29 12:59:00,76610.0,75040.0,20,-31400.0,signal_reverse
2016-02-29 13:59:00,2016-03-04 12:59:00,75760.0,79660.0,21,81900.0,signal_reverse
2016-03-18 12:59:00,2016-03-23 12:59:00,86860.0,87670.0,22,17820.0,signal_reverse
2016-03-31 12:59:00,2016-04-01 12:59:00,86650.0,85290.0,25,-34000.0,signal_reverse
2016-04-08 12:59:00,2016-04-15 12:59:00,86970.0,90690.0,26,96720.0,signal_reverse
2016-04-19 12:59:00,2016-04-22 12:59:00,91830.0,91710.0,20,-2400.0,signal_reverse
2016-04-22 13:59:00,2016-04-25 12:54:00,92480.0,91850.0,21,-13230.0,signal_reverse
2016-04-29 12:59:00,2016-05-04 10:59:00,95980.0,92270.0,22,-81620.0,stop_loss
2016-05-12 12:59:00,2016-05-13 12:59:00,92410.0,90290.0,25,-53000.0,signal_reverse
2016-05-26 12:59:00,2016-05-27 12:59:00,92030.0,91150.0,32,-28160.0,signal_reverse
2016-05-27 13:59:00,2016-05-30 12:59:00,91210.0,91250.0,26,1040.0,signal_reverse
2016-05-30 13:59:00,2016-05-31 12:59:00,91690.0,91820.0,26,3380.0,signal_reverse
2016-06-06 12:59:00,2016-06-08 10:59:00,91780.0,95030.0,25,81250.0,expiration
2016-06-20 12:59:00,2016-06-22 12:59:00,91150.0,91570.0,27,11340.0,signal_reverse
2016-06-30 12:59:00,2016-06-30 13:59:00,90750.0,90500.0,33,-8250.0,signal_reverse
2016-07-01 14:24:00,2016-07-05 12:59:00,90380.0,90690.0,30,9300.0,signal_reverse
2016-07-12 12:59:00,2016-07-19 12:59:00,93760.0,95880.0,30,63600.0,signal_reverse
2016-08-08 12:59:00,2016-08-11 12:59:00,94710.0,94220.0,34,-16660.0,signal_reverse
2016-09-05 12:59:00,2016-09-08 10:59:00,97660.0,101260.0,34,122400.0,expiration
2016-10-03 12:59:00,2016-10-04 12:59:00,100060.0,99300.0,32,-24320.0,signal_reverse
2016-11-10 12:59:00,2016-11-10 23:49:00,101690.0,98610.0,25,-77000.0,stop_loss
2016-11-21 12:59:00,2016-11-25 12:59:00,100540.0,102450.0,37,70670.0,signal_reverse
2016-12-01 12:59:00,2016-12-08 10:59:00,104270.0,108030.0,31,116560.0,expiration
