period,entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,pnl_1c
train,2014-11-06 16:47:00,2014-11-10 16:47:00,102760.0,104270.0,27,-40770.0,signal_reverse,-1510.0
train,2014-11-13 20:02:00,2014-11-18 16:47:00,99840.0,101740.0,22,-41800.0,signal_reverse,-1900.0
train,2014-11-27 16:47:00,2014-12-03 16:47:00,103550.0,94230.0,23,214360.0,signal_reverse,9320.0
train,2014-12-29 16:47:00,2015-01-06 20:47:00,78830.0,72150.0,16,106880.0,signal_reverse,6680.0
train,2015-01-12 16:49:00,2015-01-12 17:34:00,73780.0,73990.0,15,-3150.0,signal_reverse,-210.0
train,2015-01-13 16:54:00,2015-01-13 17:39:00,71410.0,72330.0,18,-16560.0,signal_reverse,-920.0
train,2015-01-14 16:47:00,2015-01-15 16:47:00,71640.0,75760.0,18,-74160.0,signal_reverse,-4120.0
train,2015-01-27 16:47:00,2015-01-27 19:17:00,76380.0,77920.0,16,-24640.0,signal_reverse,-1540.0
train,2015-01-28 16:47:00,2015-01-30 17:32:00,76420.0,72660.0,19,71440.0,signal_reverse,3760.0
train,2015-01-30 19:17:00,2015-01-30 20:47:00,71510.0,72220.0,18,-12780.0,signal_reverse,-710.0
train,2015-03-06 20:02:00,2015-03-10 10:44:00,89540.0,88650.0,17,15130.0,expiration,890.0
train,2015-03-26 16:47:00,2015-03-27 20:47:00,85830.0,85290.0,17,9180.0,signal_reverse,540.0
train,2015-05-20 20:02:00,2015-05-21 16:47:00,102560.0,102350.0,26,5460.0,signal_reverse,210.0
train,2015-05-25 16:47:00,2015-05-25 18:17:00,103490.0,103780.0,31,-8990.0,signal_reverse,-290.0
train,2015-05-26 18:17:00,2015-06-02 16:47:00,101930.0,96290.0,21,118440.0,signal_reverse,5640.0
train,2015-06-23 16:47:00,2015-06-25 16:47:00,93600.0,91750.0,37,68450.0,signal_reverse,1850.0
train,2015-06-26 16:47:00,2015-06-30 19:17:00,91090.0,91260.0,57,-9690.0,signal_reverse,-170.0
train,2015-07-03 18:17:00,2015-07-03 19:17:00,89340.0,89430.0,45,-4050.0,signal_reverse,-90.0
