entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,period,pnl_1c
2018-03-02 16:04:00,2018-03-02 20:49:00,125660.0,127290.0,18,-29340.0,signal_reverse,train,-1630.0
2018-03-07 14:34:00,2018-03-09 11:29:00,125850.0,126590.0,19,-14060.0,expiration,train,-740.0
2018-03-20 14:34:00,2018-03-21 14:34:00,124360.0,126570.0,22,-48620.0,signal_reverse,train,-2210.0
2018-03-23 14:34:00,2018-03-23 17:34:00,125230.0,126050.0,20,-16400.0,signal_reverse,train,-820.0
2018-03-26 14:34:00,2018-03-26 16:04:00,125760.0,125250.0,19,9690.0,signal_reverse,train,510.0
2018-03-27 14:34:00,2018-03-29 17:34:00,124280.0,124260.0,19,380.0,signal_reverse,train,20.0
2018-04-02 20:49:00,2018-04-04 20:49:00,123080.0,124220.0,28,-31920.0,signal_reverse,train,-1140.0
2018-04-06 20:49:00,2018-04-19 14:34:00,122360.0,116020.0,23,145820.0,signal_reverse,train,6340.0
2018-04-19 20:54:00,2018-04-20 14:34:00,114490.0,113990.0,15,7500.0,signal_reverse,train,500.0
2018-05-03 17:34:00,2018-05-03 20:54:00,112620.0,113950.0,22,-29260.0,signal_reverse,train,-1330.0
2018-05-08 14:34:00,2018-05-08 16:04:00,113930.0,113810.0,22,2640.0,signal_reverse,train,120.0
2018-05-29 14:34:00,2018-05-29 16:04:00,114830.0,115270.0,28,-12320.0,signal_reverse,train,-440.0
2018-05-30 14:34:00,2018-05-30 20:49:00,115930.0,116560.0,27,-17010.0,signal_reverse,train,-630.0
2018-05-31 20:54:00,2018-06-01 14:34:00,115630.0,116770.0,24,-27360.0,signal_reverse,train,-1140.0
2018-06-18 14:34:00,2018-06-25 14:34:00,108440.0,110660.0,24,-53280.0,stop_loss,train,-2220.0
2018-06-25 16:04:00,2018-06-27 17:34:00,110620.0,111150.0,23,-12190.0,signal_reverse,train,-530.0
2018-08-08 14:34:00,2018-08-24 14:34:00,111740.0,105600.0,26,159640.0,signal_reverse,train,6140.0
2018-09-06 22:24:00,2018-09-10 11:40:00,105560.0,103840.0,32,55040.0,expiration,train,1720.0
2018-10-19 17:34:00,2018-10-24 16:04:00,113080.0,113190.0,20,-2200.0,signal_reverse,train,-110.0
2018-10-24 22:19:00,2018-10-31 20:49:00,111910.0,112240.0,16,-5280.0,signal_reverse,train,-330.0
2018-11-01 14:34:00,2018-11-01 16:04:00,111880.0,111850.0,21,630.0,signal_reverse,train,30.0
2018-11-13 22:19:00,2018-11-14 20:54:00,109770.0,111300.0,21,-32130.0,signal_reverse,train,-1530.0
2018-11-20 17:34:00,2018-11-21 17:34:00,111810.0,112530.0,21,-15120.0,signal_reverse,train,-720.0
2018-11-23 20:49:00,2018-11-27 19:24:00,111260.0,109700.0,24,37440.0,signal_reverse,train,1560.0
2018-11-27 20:54:00,2018-11-28 14:34:00,109000.0,110260.0,18,-22680.0,signal_reverse,train,-1260.0
2018-12-18 14:34:00,2018-12-29 23:49:00,110070.0,106520.0,26,92300.0,end_of_data,train,3550.0
2019-02-19 14:34:00,2019-02-20 14:34:00,117390.0,118690.0,27,-35100.0,signal_reverse,test,-1300.0
2019-02-21 20:54:00,2019-02-22 14:34:00,118580.0,119470.0,30,-26700.0,signal_reverse,test,-890.0
2019-03-07 20:54:00,2019-03-11 12:19:00,117930.0,116350.0,36,56880.0,expiration,test,1580.0
2019-03-29 20:49:00,2019-04-01 14:34:00,118060.0,119020.0,28,-26880.0,signal_reverse,test,-960.0
2019-05-08 14:34:00,2019-05-08 17:34:00,120960.0,121330.0,30,-11100.0,signal_reverse,test,-370.0
2019-05-10 14:34:00,2019-05-14 17:34:00,119620.0,121740.0,31,-65720.0,signal_reverse,test,-2120.0
2019-07-19 17:34:00,2019-07-25 14:34:00,135780.0,135840.0,30,-1800.0,signal_reverse,test,-60.0
2019-07-25 19:24:00,2019-07-26 14:34:00,134760.0,135810.0,26,-27300.0,signal_reverse,test,-1050.0
