tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,time_bars,time_target,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c,be_target,be_offset,trail_pts,trail_atr,sl_atr_mult,sl_pts
120,60,200,70,5,30,300,530,1.02322532664434,0.9759752097902687,20,1,1,fixed,,,short,127.86585365853658,328,41940.0,0.4481707317073171,1.222623281490525,1566.8707482993198,-1052.4581005586592,17840.0,,,,,,5000.0
120,60,185,255,70,85,60,230,0.9609491704627916,0.917539608166583,15,1,1,none,,,short,127.84375,640,81820.0,0.521875,1.3724423606527527,902.7095808383234,-717.9248366013072,14070.0,,,,,,
120,45,65,115,5,40,380,450,0.9579543134595535,0.9235845273801346,27,0,0,fixed,,,short,127.83962264150944,530,67755.0,0.35471698113207545,1.1479867640795465,2795.744680851064,-1338.7280701754387,36840.0,,,,,,1000.0
210,90,175,210,45,115,180,510,0.9395782523747851,0.9811046769278164,24,0,1,time,36.0,1800.0,short,127.83505154639175,291,37200.0,0.3539518900343643,1.124500075302465,3262.0873786407765,-1597.8342245989304,39520.0,,,,,,
300,90,210,265,25,120,310,510,1.005382051494465,0.9903507282388035,7,1,0,trail_pts,,,short,127.78637770897832,646,82550.0,0.5154798761609907,1.2925385828445877,1095.3003003003003,-907.347266881029,22470.0,,,1500.0,,,
180,45,65,235,35,15,280,460,1.0125120623672867,0.995669517988029,25,1,1,trail_pts,,,short,127.74621212121212,264,33725.0,0.5075757575757576,1.263342833717253,1207.3880597014925,-992.7519379844962,23515.0,,,5000.0,,,
150,45,170,30,75,70,210,560,0.9375550128849396,1.0201121213367461,20,0,1,time,38.0,1800.0,short,127.71634615384616,208,26565.0,0.3557692307692308,1.199571782736083,2157.7702702702704,-993.3582089552239,19450.0,,,,,,
120,60,150,235,15,170,270,620,1.033764752630527,0.9984334248646591,14,0,1,trail_atr,,,short,127.68683274021352,281,35880.0,0.3274021352313167,1.1253603060636235,3501.032608695652,-1514.3650793650793,60665.0,,,,4.92,,
240,60,155,140,10,95,380,570,1.0185088963630842,0.9428167749370946,22,1,1,fixed,,,short,127.66460905349794,486,62045.0,0.5123456790123457,1.3061833793920252,1062.991967871486,-862.2978723404256,21270.0,,,,,,7500.0
300,45,45,220,95,105,350,480,0.9095190522789404,0.9559830464878849,21,0,0,trail_pts,,,short,127.65463917525773,388,49530.0,0.3788659793814433,1.0991462572438022,3735.3401360544217,-2072.883817427386,51205.0,,,6000.0,,,
