month,trades,n_long,n_short,pnl,avg_pnl,wins,gross_profit,gross_loss,avg_contracts,date,cum_pnl,equity,wr,pf,return_pct
2017-06,2,0,2,112731.68,56365.84,1,118354.4,-5622.72,40.0,2017-06-01,12874056.542999996,17874056.542999998,50.0,21.04931421091571,2.2546336
2017-07,4,4,0,69574.06000000001,17393.515000000003,1,196831.268,-127257.208,72.5,2017-07-01,12943630.602999996,17943630.602999996,25.0,1.5467199940454455,1.3914812000000003
2017-08,5,2,3,-190796.826,-38159.3652,0,0.0,-190796.82599999997,59.2,2017-08-01,12752833.776999997,17752833.776999995,0.0,0.0,-3.81593652
2017-09,3,2,1,643881.5199999999,214627.1733333333,2,695582.6,-51701.08,80.0,2017-09-01,13396715.296999997,18396715.297,66.66666666666666,13.45392784831574,12.877630399999997
2017-10,6,4,2,-235142.5,-39190.416666666664,2,47006.799999999996,-282149.3,80.0,2017-10-01,13161572.796999997,18161572.797,33.33333333333333,0.16660257530321712,-4.70285
2017-11,6,3,3,-175215.97,-29202.661666666667,2,11091.048,-186307.018,60.0,2017-11-01,12986356.826999996,17986356.826999996,33.33333333333333,0.05953102636208798,-3.5043194
2017-12,5,3,2,-91503.002,-18300.6004,2,69378.16,-160881.16199999998,73.2,2017-12-01,12894853.824999996,17894853.824999996,40.0,0.43123855607159284,-1.8300600399999998
2018-01,2,2,0,1110639.87,555319.935,1,1140558.3,-29918.43,79.0,2018-01-01,14005493.694999997,19005493.694999997,50.0,38.12226443700422,22.212797400000003
2018-02,4,3,1,57327.905999999995,14331.976499999999,1,149938.158,-92610.25200000001,46.5,2018-02-01,14062821.600999996,19062821.600999996,25.0,1.61902332368127,1.14655812
2018-03,3,1,2,61899.042,20633.014,2,65295.121999999996,-3396.08,44.666666666666664,2018-03-01,14124720.642999995,19124720.642999995,66.66666666666666,19.226614802949282,1.23798084
2018-04,7,2,5,343330.708,49047.244,2,517276.0,-173945.292,45.142857142857146,2018-04-01,14468051.350999996,19468051.350999996,28.57142857142857,2.9737855739148147,6.866614159999999
2018-05,4,3,1,-70171.48999999999,-17542.872499999998,2,47756.100000000006,-117927.59,56.0,2018-05-01,14397879.860999996,19397879.860999994,50.0,0.40496121391101103,-1.4034297999999998
2018-06,2,0,2,-19017.4,-9508.7,0,0.0,-19017.4,40.0,2018-06-01,14378862.460999995,19378862.460999995,0.0,0.0,-0.380348
2018-07,2,1,1,332759.224,166379.612,2,332759.224,0.0,51.0,2018-07-01,14711621.684999995,19711621.684999995,100.0,inf,6.65518448
2018-08,9,4,5,-123626.33600000001,-13736.259555555556,3,85345.84000000001,-208972.176,52.666666666666664,2018-08-01,14587995.348999996,19587995.348999996,33.33333333333333,0.40840767241663795,-2.4725267200000003
2018-09,2,1,1,39403.513999999996,19701.756999999998,1,47562.28,-8158.766,51.0,2018-09-01,14627398.862999996,19627398.862999998,50.0,5.829592367277111,0.7880702799999998
2018-10,5,1,4,476413.31200000003,95282.6624,2,535869.152,-59455.84,45.6,2018-10-01,15103812.174999997,20103812.174999997,40.0,9.012893468496955,9.52826624
2018-11,8,3,5,-305208.61600000004,-38151.077000000005,1,21912.44,-327121.056,45.0,2018-11-01,14798603.558999997,19798603.558999997,12.5,0.0669857216406149,-6.104172320000001
2018-12,4,2,2,-108438.718,-27109.6795,1,32730.64,-141169.358,42.5,2018-12-01,14690164.840999996,19690164.841,25.0,0.231853714316672,-2.16877436
2019-02,5,2,3,373030.964,74606.19279999999,2,494063.484,-121032.51999999999,53.6,2019-02-01,15063195.804999996,20063195.804999996,40.0,4.0820721901849195,7.4606192799999995
2019-03,6,2,4,-195011.88999999998,-32501.981666666663,2,50514.44,-245526.33000000002,51.333333333333336,2019-03-01,14868183.914999995,19868183.914999995,33.33333333333333,0.2057394007396274,-3.9002377999999998
2019-04,5,3,2,-81373.99600000001,-16274.799200000003,1,101082.524,-182456.52000000002,74.8,2019-04-01,14786809.918999996,19786809.918999996,20.0,0.5540088345431557,-1.6274799200000003
2019-05,7,4,3,-10257.224000000004,-1465.3177142857148,2,121898.73999999999,-132155.964,57.142857142857146,2019-05-01,14776552.694999997,19776552.694999997,28.57142857142857,0.9223854626795351,-0.20514448000000007
2019-06,2,2,0,266186.27599999995,133093.13799999998,2,266186.27599999995,0.0,49.0,2019-06-01,15042738.970999997,20042738.970999997,100.0,inf,5.323725519999999
2019-07,5,3,2,-63155.742,-12631.1484,2,13065.58,-76221.322,62.4,2019-07-01,14979583.228999997,19979583.228999995,40.0,0.17141633938073128,-1.26311484
2019-08,4,0,4,110685.32,27671.33,2,173130.88,-62445.56,40.0,2019-08-01,15090268.548999997,20090268.548999995,50.0,2.7725090462796715,2.2137064
2019-09,1,1,0,405882.75,405882.75,1,405882.75,0.0,78.0,2019-09-01,15496151.298999997,20496151.298999995,100.0,inf,8.117655
