y_true,y_pred,y_logit,q10,q50,q90
-0.0061547756,0.00033415668,-0.03871297,-0.008804023,-0.000995025,0.0014537238
0.00017118454,0.0002302397,-0.038186267,-0.0089599155,-0.0010167062,0.001667697
0.0020513535,0.00013658404,-0.037812464,-0.009060837,-0.0010203645,0.001744695
0.006154299,7.252768e-05,-0.037509702,-0.009128023,-0.0010040402,0.0017710738
0.0017095804,0.0001506675,-0.03785377,-0.0090258755,-0.0009999573,0.0016637668
0.0011968613,0.00014893152,-0.03782174,-0.009064257,-0.0010321736,0.0017862692
-0.003761053,0.00025805272,-0.038365774,-0.008864138,-0.0009796992,0.0014533885
0.0034193993,0.00012001023,-0.03770878,-0.009091221,-0.0010336936,0.0018079579
-0.0061547756,7.3624775e-05,-0.037512362,-0.009145521,-0.0010361373,0.0018526353
-0.0116250515,-2.344884e-05,-0.037077047,-0.009264749,-0.00103876,0.001963269
0.0054707527,3.3030286e-05,-0.03732255,-0.0091956705,-0.001037173,0.0019034296
-0.0020513535,7.9343095e-05,-0.037522458,-0.009135492,-0.0010275021,0.0018313974
-0.009574175,0.000120162964,-0.037707515,-0.009096891,-0.001030758,0.0018086843
0.006667614,0.00014757738,-0.03782209,-0.009063069,-0.0010267422,0.0017736778
0.012821913,9.0610236e-05,-0.037584916,-0.009127457,-0.001033254,0.0018345006
-0.008547902,-2.082251e-05,-0.03709379,-0.009261742,-0.0010337532,0.0019605644
-0.024276257,0.00020422973,-0.038139522,-0.008928731,-0.0010042936,0.001562614
0.0102574825,6.378442e-05,-0.037445344,-0.0091640465,-0.001034081,0.0018746108
0.0017096996,0.00011448562,-0.037685983,-0.009102695,-0.0010305792,0.0018095933
-0.008206129,0.00022836216,-0.038247183,-0.008903153,-0.0009858683,0.0015004389
-0.0008546114,0.00024287216,-0.038272597,-0.008907065,-0.0009863824,0.0015295707
0.0008546114,0.0003052298,-0.038588457,-0.008823637,-0.0009805784,0.0014268942
-0.008718491,0.000291463,-0.03851468,-0.008848805,-0.0009974092,0.0014965534
0.0035899878,0.00022105873,-0.038195595,-0.008935433,-0.0009907559,0.0015561208
0.0061541796,0.0002851002,-0.038484327,-0.00884771,-0.0009827465,0.0014594048
-0.008034468,0.00034497678,-0.038757958,-0.00878609,-0.0009942949,0.0014354922
-0.0015391111,0.00041053817,-0.039047815,-0.008708183,-0.0009838194,0.0013462193
-0.003761053,0.00043669716,-0.03915889,-0.008680478,-0.0009827465,0.0013266653
-0.0015386343,0.0004319679,-0.03911119,-0.00866697,-0.0009586662,0.0012641139
-0.012308955,0.00054901093,-0.03965058,-0.008518282,-0.0009503886,0.0011131391
-0.023934007,0.0004340019,-0.039074138,-0.008697208,-0.000989981,0.0013909228
0.010428667,0.00032645836,-0.03863457,-0.008778326,-0.00097026676,0.0013870411
-0.0023936033,0.00020274147,-0.038079165,-0.008972667,-0.001009129,0.0016549416
-0.0034189224,0.00028030202,-0.038432628,-0.008833498,-0.00097265095,0.0014376789
-0.0039322376,0.0002737213,-0.038418308,-0.008843459,-0.00097586215,0.001439359
0.00034177303,0.000205772,-0.038141936,-0.008934535,-0.0009959713,0.001560118
-0.0034188032,0.00016221032,-0.037975185,-0.008954793,-0.0009783059,0.0015234463
0.0046156645,0.00017644279,-0.038036145,-0.008939661,-0.0009806305,0.0015165173
0.0008546114,0.00024176575,-0.03830912,-0.008866087,-0.000976868,0.0014446825
0.0032482147,0.0003401395,-0.038709432,-0.0087419,-0.0009702891,0.0013372041
0.001880765,0.00028770417,-0.03851652,-0.008794773,-0.00096684694,0.001359418
0.0008546114,0.00023599528,-0.038254097,-0.008901365,-0.0010043755,0.0015646704
0.010257602,0.00039634109,-0.0389579,-0.008702315,-0.0009911209,0.0013646558
0.00051283836,0.00041497126,-0.039076783,-0.008645501,-0.00095306337,0.0012038983
0.0013674498,0.000540372,-0.039618753,-0.008498944,-0.0009500459,0.0010758005
-0.0042740107,0.0005514901,-0.039652094,-0.008488312,-0.00094516575,0.00107003
0.0027353764,0.00064587407,-0.04005514,-0.008382063,-0.0009453073,0.0009791031
-0.0029059649,0.00064948946,-0.040061496,-0.008387148,-0.0009623915,0.0010399036
0.0010256767,0.0006731674,-0.040147923,-0.00837769,-0.0009597391,0.0010340102
0.002564311,0.00062605366,-0.039969467,-0.008412387,-0.00095585734,0.0010368191
0.0006840229,0.0005070809,-0.039462306,-0.008566041,-0.00096864253,0.0012011416
0.0034188032,0.0004912093,-0.03939093,-0.008595001,-0.0009738356,0.0012422875
-0.0075222254,0.0004854016,-0.039362006,-0.0086160675,-0.0009736419,0.0012605302
-0.0015385151,0.0004509613,-0.039216146,-0.008657537,-0.000973776,0.0012929775
-0.00034177303,0.00043673627,-0.039157853,-0.008674841,-0.00097284466,0.0013021752
0.0020514727,0.00040961802,-0.039039657,-0.008711506,-0.0009787753,0.0013483725
0.0010256767,0.0004082732,-0.039040312,-0.008713458,-0.0009802654,0.0013566427
-0.005641341,0.0004097782,-0.039046742,-0.008714013,-0.000982523,0.001365047
-0.003248334,0.0003993269,-0.03899444,-0.008730046,-0.0009813458,0.0013736635
0.004445076,0.000408113,-0.03903994,-0.008703768,-0.00096779317,0.0013086833
-0.0020518303,0.0004064776,-0.03903035,-0.008711871,-0.00097165257,0.0013259463
0.0006839037,0.00038414635,-0.038930997,-0.008743454,-0.0009830892,0.0013875552
0.0018808842,0.0003951881,-0.038985312,-0.0087230615,-0.0009671226,0.0013256408
-0.0042740107,0.00039342046,-0.03897444,-0.008729786,-0.0009673685,0.001332391
0.004444599,0.0003909599,-0.03894931,-0.008743312,-0.000981681,0.0013852194
-0.0013674498,0.00036906265,-0.038859382,-0.008765269,-0.0009829104,0.0014042519
-0.00034224987,0.0004019495,-0.039013006,-0.008720566,-0.0009800941,0.001363419
-0.0034189224,0.00039397925,-0.038966976,-0.008736424,-0.0009763539,0.001362741
-0.004102826,0.000426244,-0.0391018,-0.008701444,-0.0009783283,0.0013456568
0.0018802881,0.0004577916,-0.03925713,-0.008646976,-0.00096043944,0.0012484305
0.0011968613,0.00040599518,-0.039017558,-0.008716762,-0.0009762421,0.0013468303
0.0037611723,0.0003903862,-0.038947076,-0.00873664,-0.0009827465,0.0013822652
-0.0011968613,0.00037458912,-0.03888526,-0.008758619,-0.0009825379,0.001398731
0.0029064417,0.00039618462,-0.038992435,-0.008717548,-0.0009658411,0.0013144985
-0.013676882,0.0003671702,-0.038818248,-0.008754592,-0.0009651184,0.0013685934
0.0068382025,0.00036577508,-0.038818195,-0.008752797,-0.0009696707,0.001368884
0.013164043,0.00036805682,-0.03882365,-0.008753188,-0.00097375363,0.0013815872
