tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
240,90,145,250,95,40,110,270,1.0503082216358826,0.9653824887512781,20,1,1,-15.394021739130435,368,-5665.0,0.5,0.9467625223193309,547.5271739130435,-587.9005524861878
300,45,155,285,55,165,330,440,1.0415138319951878,0.9201377559692427,16,1,0,-15.460122699386503,326,-5040.0,0.4662576687116564,0.9644970414201184,900.7894736842105,-820.5780346820809
150,60,285,200,50,200,280,380,0.9735476501069333,1.0244689969514542,30,1,0,-15.59688581314879,578,-9015.0,0.5051903114186851,0.9595449649973075,732.277397260274,-781.8947368421053
240,90,120,140,30,50,140,330,0.9825988792815391,0.9317171483870086,17,1,1,-15.731310942578547,923,-14520.0,0.49079089924160346,0.9614363114841177,799.1169977924944,-807.9828326180258
210,45,40,80,90,190,140,330,0.9533186612210722,0.9892727833615567,10,1,1,-15.735294117647058,1054,-16585.0,0.49240986717267554,0.9578027402139758,725.3371868978805,-742.9773156899811
300,45,115,165,45,40,130,350,1.0360701729905422,0.9359349443036581,20,1,0,-15.7396449704142,338,-5320.0,0.4940828402366864,0.9648148148148148,873.5329341317365,-900.0
120,45,65,205,70,75,200,290,0.9035723974316745,0.9885358574349452,21,1,0,-15.762452107279694,1305,-20570.0,0.4835249042145594,0.9398186073727326,509.08082408874805,-514.7590361445783
240,120,40,175,35,140,70,180,1.0247471863310582,1.033253014935176,20,1,1,-15.83177570093458,535,-8470.0,0.5196261682242991,0.9516345467523197,599.4784172661871,-684.08203125
240,60,65,220,30,25,200,280,0.9468529674926297,0.9336177008457428,10,1,1,-15.83860759493671,948,-15015.0,0.509493670886076,0.9265213242310798,391.9875776397516,-448.125
180,90,75,100,5,30,170,600,0.9438810904035513,0.905293865305299,22,0,1,-15.93342981186686,691,-11010.0,0.35021707670043417,0.9813009510869565,2387.561983471074,-1311.358574610245
300,60,115,180,50,170,310,410,0.9209959431792142,0.9797105013403082,18,1,1,-16.03744939271255,988,-15845.0,0.5,0.951147697667607,624.493927125506,-664.641393442623
210,90,245,290,5,70,440,690,1.0128587785332397,0.9622071502401907,5,0,0,-16.03960396039604,303,-4860.0,0.3564356435643564,0.9815605258664846,2395.4166666666665,-1351.6153846153845
210,90,105,225,25,195,160,270,0.9453196869394636,0.9325859665287279,29,1,0,-16.043123543123542,858,-13765.0,0.4965034965034965,0.9369344604036378,480.0469483568075,-513.564705882353
180,120,195,165,60,160,90,260,0.9971452664674152,0.9084768621896558,19,1,1,-16.083333333333332,960,-15440.0,0.484375,0.9651077388956057,918.4193548387096,-901.2321792260692
120,60,180,65,45,90,190,260,0.9912520492868563,1.0214042014307985,19,1,1,-16.10969387755102,392,-6315.0,0.5025510204081632,0.9341707495048472,454.8984771573604,-499.6354166666667
240,90,45,150,90,160,140,210,0.9786067945331854,0.9702151455041563,22,1,1,-16.199407699901283,1013,-16410.0,0.49851924975320827,0.939234600359186,502.26732673267327,-543.3702213279678
240,45,160,290,80,130,280,570,0.9446127713835227,0.9603319947296747,16,0,0,-16.346666666666668,375,-6130.0,0.3413333333333333,0.984928020849981,3129.5703125,-1660.061224489796
210,90,30,155,10,85,140,230,0.9006713480639501,0.9274171305913322,14,1,1,-16.534552845528456,984,-16270.0,0.4847560975609756,0.9379717880289744,515.7861635220125,-525.6513026052104
240,120,170,25,60,50,100,210,0.9415957305923224,1.0051381553801857,16,1,1,-16.697341513292432,489,-8165.0,0.4867075664621677,0.9447003047748053,586.0714285714286,-590.6
150,60,155,90,5,70,300,400,0.9578334709519322,1.0227433077591948,16,1,1,-16.74846625766871,326,-5460.0,0.4570552147239264,0.9615004935834156,915.1677852348994,-805.7954545454545
120,45,255,120,70,195,110,350,1.0034873054105156,0.9144498260319207,9,1,1,-16.788931788931787,777,-13045.0,0.48133848133848134,0.9599717700486353,836.4973262032086,-816.7794486215539
240,45,70,110,60,50,70,320,0.9224690238116493,0.9434856858724826,26,1,0,-16.87950937950938,1386,-23395.0,0.46320346320346323,0.96040584223264,883.917445482866,-798.472972972973
150,45,240,75,100,175,180,270,0.9803366511589952,0.9515826493936895,15,1,0,-16.981424148606813,969,-16455.0,0.5077399380804953,0.9309237453560859,450.7317073170732,-507.92110874200426
150,60,35,210,70,105,170,290,0.957265456787558,1.0001625863123147,20,1,0,-17.00726141078838,964,-16395.0,0.4896265560165975,0.942079417791281,564.9682203389831,-582.4279835390946
180,45,105,190,65,145,450,570,0.9203790773652216,0.9478234866873116,5,0,1,-17.053291536050157,319,-5440.0,0.3448275862068966,0.986110933809919,3511.2272727272725,-1883.0528846153845
150,120,175,250,65,115,60,300,1.018693886510705,0.9470480327122325,15,1,0,-17.186666666666667,750,-12890.0,0.492,0.963226588688396,915.0,-932.2473404255319
300,45,250,75,30,35,470,660,0.9656131428035023,0.9451131111953582,12,0,1,-17.298994974874372,398,-6885.0,0.38944723618090454,0.9816049267269594,2370.3225806451615,-1540.267489711934
210,90,230,65,30,55,180,250,0.9837086791766005,0.9794498246595452,19,1,0,-17.310385064177364,857,-14835.0,0.4807467911318553,0.9333812335810674,504.49029126213594,-507.255125284738
240,120,185,265,35,20,120,310,0.9277986467696189,0.984960935596091,21,1,0,-17.339055793991417,932,-16160.0,0.48283261802575106,0.9619419945126761,907.6777777777778,-892.0483193277311
300,45,90,270,5,70,350,580,0.9557662504058424,0.981043517419432,24,0,0,-17.376373626373628,728,-12650.0,0.385989010989011,0.976572338691755,1876.5480427046264,-1216.126126126126
