tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
150,90,30,145,65,95,140,550,0.9580828878758164,0.9766624895484358,30,0,1,short,365.958904109589,365,133575.0,0.35342465753424657,1.3526965476269062,3971.3178294573645,-1611.595744680851
120,90,85,235,60,115,170,570,0.9649789460301079,0.9459081406710124,19,0,0,short,365.0626959247649,319,116455.0,0.3072100313479624,1.3423334705156094,4659.540816326531,-1546.2727272727273
150,60,260,170,25,75,80,400,1.0034273285844317,0.974232959390118,23,0,0,short,364.5230263157895,304,110815.0,0.3782894736842105,1.3652740008240627,3601.6521739130435,-1613.6968085106382
210,45,245,35,20,185,90,540,1.0092359383512235,0.9404009971059348,15,0,0,short,363.9641434262948,502,182710.0,0.47410358565737054,1.5427782068801617,2182.0588235294117,-1284.8091603053435
210,90,45,240,60,90,200,600,0.9306196748099438,0.9599151090568627,6,0,0,short,363.9130434782609,345,125550.0,0.32753623188405795,1.3253391378707196,4526.150442477876,-1677.8478260869565
210,60,110,125,70,85,160,410,0.9907235623467936,0.956318138178308,28,0,1,short,363.2121212121212,330,119860.0,0.36363636363636365,1.329856619974131,4026.9166666666665,-1730.3333333333333
180,60,60,170,40,45,180,360,1.0018610916988329,0.9096406614008636,7,0,0,short,362.78135048231513,311,112825.0,0.38263665594855306,1.3534064212999217,3630.8823529411766,-1671.4659685863874
180,60,100,255,35,170,170,420,0.9123461597084487,0.9899484333713733,24,0,1,short,362.77142857142854,350,126970.0,0.37142857142857144,1.3366029532621087,3878.3076923076924,-1714.590909090909
180,45,90,85,50,180,180,580,0.9331393619332995,1.0041710713695444,15,0,1,short,362.38520408163265,392,142055.0,0.32653061224489793,1.4756093477969734,3443.2421875,-1131.3636363636363
120,45,270,145,90,180,140,500,0.9618349069226438,0.9404025015903595,13,0,1,short,361.03343465045594,329,118780.0,0.3860182370820669,1.3653532650487528,3495.196850393701,-1609.4554455445545
300,45,250,165,25,125,300,470,1.0049982282413679,0.9841885163312494,29,0,0,short,360.95846645367413,313,112980.0,0.41533546325878595,1.349739970282318,3354.0,-1765.2459016393443
180,60,155,205,20,165,340,500,0.9999117502254997,0.9961059414681732,5,0,1,short,360.6291390728477,302,108910.0,0.4139072847682119,1.345938219645835,3389.88,-1778.6723163841807
180,60,65,165,60,125,230,430,0.933839051367761,0.9281373135359443,26,0,0,short,360.18055555555554,360,129665.0,0.35833333333333334,1.2884649610678531,4489.6511627906975,-1954.3478260869565
300,45,20,125,70,105,130,330,1.0107824005345285,0.9362557297795697,9,0,1,short,360.14824797843664,371,133615.0,0.42318059299191374,1.3832848065862509,3071.4649681528663,-1636.643192488263
240,45,95,115,40,20,240,470,0.9501573899413349,0.9170219874435087,17,0,1,short,359.4192913385827,508,182585.0,0.46062992125984253,1.4872116449413617,2381.7948717948716,-1372.7289377289378
210,90,260,70,40,40,160,690,0.9401609127781805,0.9727555797962344,19,0,1,short,359.3693693693694,333,119670.0,0.3783783783783784,1.3603649722958324,3585.3174603174602,-1619.9024390243903
210,90,70,25,85,60,110,370,1.0036520419796997,0.9743843184415293,24,0,1,short,358.9644012944984,309,110920.0,0.4110032362459547,1.4096616930122619,3005.3543307086616,-1487.6923076923076
120,45,80,185,90,195,330,470,0.9491070791822659,0.9191142376930937,26,0,0,short,357.6737160120846,331,118390.0,0.35347432024169184,1.2655347590584383,4822.606837606838,-2083.4345794392525
120,45,80,100,80,115,80,620,0.924397230889814,0.9963574264653786,20,0,1,short,357.29681978798584,566,202230.0,0.26501766784452296,1.42886681016658,4491.833333333333,-1138.997584541063
240,45,155,125,70,155,250,600,0.9605142702763799,0.9883871157074504,16,0,0,short,357.09046454767724,409,146050.0,0.36674816625916873,1.4085486104312068,3356.9,-1385.6007751937984
120,45,75,210,35,35,480,680,0.9262697279854072,0.9058576478002947,12,0,0,short,356.77777777777777,405,144495.0,0.43950617283950616,1.4289594775122458,2704.1853932584268,-1490.486725663717
180,60,170,105,30,85,250,460,0.9455418698096679,0.9059823410314842,15,0,0,short,355.44072948328267,329,116940.0,0.3951367781155015,1.3420898666042593,3529.076923076923,-1717.788944723618
120,90,105,140,15,90,150,550,1.0161728453766723,0.944638974214623,8,0,0,short,355.4320987654321,324,115160.0,0.38580246913580246,1.3678880618471072,3425.52,-1573.0150753768844
180,45,145,40,45,105,250,530,0.9659653271659867,0.9606191846422426,14,0,1,short,355.2267818574514,463,164470.0,0.4190064794816415,1.4175796275373542,2878.0154639175257,-1464.182156133829
150,60,75,165,50,85,210,530,0.9797564224173123,0.9137209603497843,23,0,0,short,354.6957671957672,378,134075.0,0.36772486772486773,1.32645483321159,3919.244604316547,-1718.4100418410042
210,45,60,195,70,90,180,290,0.9630736405151236,0.9186633578971278,30,0,0,short,354.27536231884056,345,122225.0,0.3652173913043478,1.2562986883630225,4754.841269841269,-2177.557077625571
