iter	Passed	Remaining
1295	3049	1656
1296	3050	1653
1297	3052	1651
1298	3054	1648
1299	3056	1646
1300	3059	1643
1301	3061	1641
1302	3063	1638
1303	3065	1635
1304	3067	1633
1305	3068	1630
1306	3070	1628
1307	3073	1625
1308	3075	1623
1309	3078	1621
1310	3080	1618
1311	3083	1616
1312	3085	1614
1313	3087	1611
1314	3089	1609
1315	3091	1606
1316	3092	1603
1317	3095	1601
1318	3097	1599
1319	3099	1596
1320	3101	1593
1321	3104	1591
1322	3106	1589
1323	3110	1588
1324	3112	1585
1325	3114	1583
1326	3117	1580
1327	3119	1578
1328	3121	1575
1329	3123	1573
1330	3124	1570
1331	3126	1568
1332	3128	1565
1333	3130	1563
1334	3133	1560
1335	3135	1558
1336	3138	1556
1337	3140	1553
1338	3142	1551
1339	3144	1548
1340	3145	1545
1341	3147	1543
1342	3150	1541
1343	3152	1538
1344	3153	1535
1345	3155	1533
1346	3157	1530
1347	3159	1528
1348	3161	1525
1349	3164	1523
1350	3167	1521
1351	3169	1519
1352	3171	1516
1353	3173	1514
1354	3175	1511
1355	3177	1508
1356	3179	1506
1357	3181	1503
1358	3183	1501
1359	3184	1498
1360	3186	1496
1361	3188	1493
1362	3190	1491
1363	3192	1488
1364	3194	1485
1365	3196	1483
1366	3197	1480
1367	3199	1478
1368	3201	1475
1369	3203	1473
1370	3205	1470
1371	3207	1467
1372	3209	1465
1373	3211	1462
1374	3213	1460
1375	3214	1457
1376	3216	1455
1377	3218	1452
1378	3220	1450
1379	3223	1448
1380	3225	1445
1381	3226	1443
1382	3228	1440
1383	3230	1437
1384	3232	1435
1385	3234	1432
1386	3236	1430
1387	3238	1428
1388	3242	1426
1389	3244	1423
1390	3246	1421
1391	3248	1418
1392	3249	1416
1393	3251	1413
1394	3253	1411
1395	3255	1408
1396	3258	1406
1397	3259	1403
1398	3262	1401
1399	3263	1398
1400	3265	1396
1401	3268	1394
1402	3269	1391
1403	3271	1388
1404	3273	1386
1405	3275	1383
1406	3277	1381
1407	3279	1378
1408	3280	1376
1409	3283	1373
1410	3285	1371
1411	3286	1368
1412	3288	1366
1413	3290	1363
1414	3292	1361
1415	3294	1358
1416	3295	1356
1417	3297	1353
1418	3299	1351
1419	3301	1348
1420	3303	1346
1421	3305	1343
1422	3308	1341
1423	3310	1338
1424	3311	1336
1425	3314	1333
1426	3316	1331
1427	3317	1328
1428	3319	1326
1429	3321	1323
1430	3323	1321
1431	3324	1318
1432	3326	1316
1433	3329	1313
1434	3331	1311
1435	3333	1309
1436	3334	1306
1437	3336	1304
1438	3338	1301
1439	3340	1299
1440	3342	1296
1441	3344	1294
1442	3346	1291
1443	3348	1289
1444	3350	1286
1445	3352	1284
1446	3354	1282
1447	3356	1279
1448	3358	1277
1449	3360	1274
1450	3362	1272
1451	3364	1269
1452	3366	1267
1453	3368	1264
1454	3369	1262
1455	3371	1259
1456	3373	1257
1457	3375	1254
1458	3377	1252
1459	3379	1249
1460	3381	1247
1461	3382	1244
1462	3384	1242
1463	3386	1239
1464	3388	1237
1465	3391	1235
1466	3393	1232
1467	3395	1230
1468	3397	1227
1469	3399	1225
1470	3401	1223
1471	3403	1220
1472	3405	1218
1473	3407	1215
1474	3409	1213
1475	3411	1210
1476	3412	1208
1477	3414	1205
1478	3416	1203
1479	3418	1201
1480	3420	1198
1481	3422	1196
1482	3424	1193
1483	3426	1191
1484	3428	1188
1485	3430	1186
1486	3432	1184
