hour,minute,day_of_week,month,d1_volume,d1_tr,d1_adx,d1_ret_1d,d1_ret_5d,m1_volume,m1_ret_15m,m1_ret_60m,m1_ret_120m,is_long,entry_time,period,pnl_net,target
14,32,4,10,211658.0,9800.0,46.60606504805849,0.04202801867911932,0.022251308900523625,153.0,0.002285476833575828,0.002424326383597686,0.030916084912380626,0,2008-10-17 14:32:00,train,217600.0,1
15,35,3,10,380155.0,8340.0,47.06265301760866,0.036730312092631,0.03379721669980129,1166.0,0.02323291986611542,0.0021855113453750352,0.028565773848792775,1,2008-10-30 15:35:00,train,-50460.0,0
15,32,1,11,315488.0,10200.0,31.188214490805596,-0.046398046398046344,-0.07018274897315313,506.0,-0.0002052826057205026,-0.009423728813559351,-0.02195595421380281,0,2008-11-11 15:32:00,train,186620.0,1
14,32,3,11,408108.0,5085.0,24.656344289652697,-0.062388879909487605,-0.008376068376068413,1229.0,-0.006216696269982225,0.0028678974726652484,-0.00701038246516994,0,2008-11-20 14:32:00,train,-98160.0,0
19,47,0,11,452373.0,5690.0,24.39639318609946,0.07800255148532886,-0.09969558599695583,353.0,0.0020876826722338038,0.010526315789473717,0.05073880071925574,1,2008-11-24 19:47:00,train,-25340.0,0
19,47,2,11,554322.0,6610.0,21.86632611453424,-0.03508137432188063,0.07806691449814118,240.0,0.006065200909780133,0.018340879441332225,0.018809980806141935,1,2008-11-26 19:47:00,train,-15760.0,0
14,32,0,12,311117.0,4000.0,18.301403036428862,-0.020497803806734938,0.13102282333051574,307.0,0.001436552274541203,0.0022364217252395235,0.0004783926008611328,0,2008-12-01 14:32:00,train,-43960.0,0
15,32,3,12,332949.0,4350.0,12.198359808442863,-0.05365147231225431,0.015465443244043309,343.0,0.0019469821776247898,-0.0005228953462314001,-0.010428222764588435,1,2008-12-18 15:32:00,train,-52060.0,0
14,32,4,12,395920.0,6400.0,11.706002525055409,-0.06551045689717994,-0.06387327542156362,162.0,-0.0026078710289236806,-0.007392843098702362,-0.009496154449850858,0,2008-12-19 14:32:00,train,-64600.0,0
15,32,0,12,124333.0,3330.0,9.13981275473001,-0.0223892159900837,-0.014910226385636216,575.0,-0.011376117997803248,-0.014006259780907637,-0.01230600407587401,0,2008-12-29 15:32:00,train,116600.0,1
