tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c
240,90,265,70,30,85,330,570,0.9435045694705713,1.0012729436848902,23,1,1,none,short,8.415178571428571,448,3770.0,0.5267857142857143,1.1171753589855162,152.3050847457627,-155.42995169082127,4418.0
120,90,80,270,80,155,200,560,0.9161302811999714,0.9710883742877489,23,1,0,none,short,8.412486064659978,897,7546.0,0.5094760312151616,1.100155289807945,181.37636761487965,-173.20229885057472,4944.0
150,45,55,25,35,145,100,260,0.9650949091723647,0.9337072622484179,30,1,1,none,short,8.412371134020619,582,4896.0,0.49312714776632305,1.1715246636771302,116.51567944250871,-97.08843537414965,3798.0
300,120,230,150,40,135,150,310,0.9013991883618746,0.9688978445284794,24,1,0,none,short,8.41025641025641,546,4592.0,0.5238095238095238,1.1402522830701567,130.53496503496504,-126.90310077519379,4464.0
180,45,260,90,15,155,170,380,0.9741222896808938,0.9611970129947971,18,1,0,none,short,8.410220994475138,724,6089.0,0.4723756906077348,1.1219727168926905,163.7719298245614,-131.0262467191601,4953.0
180,45,240,75,35,25,490,690,0.9747057911631045,0.934834881565141,8,1,1,none,short,8.399280575539569,556,4670.0,0.5107913669064749,1.2044927091999824,96.8556338028169,-85.53183520599251,2293.0
180,45,90,115,30,40,180,670,0.9095954371785404,0.9899812375050552,12,1,0,none,short,8.388535031847134,942,7902.0,0.44904458598726116,1.0987638890624805,207.8274231678487,-155.65953307392996,6333.0
180,45,60,280,15,185,350,550,0.9279876025051509,0.923471844686193,12,0,0,none,short,8.383771929824562,456,3823.0,0.38377192982456143,1.0548320472734574,420.25714285714287,-249.00714285714287,8653.0
150,45,60,55,60,125,80,320,1.0027885923375064,0.9758218032146364,22,1,0,none,short,8.382389937106918,795,6664.0,0.49056603773584906,1.1389375364856975,140.07179487179488,-119.61097256857856,6561.0
210,60,270,105,40,70,470,590,0.9277352159347948,0.9233719804476801,21,1,1,none,short,8.378927911275415,541,4533.0,0.5083179297597042,1.1984328488881106,99.55272727272727,-88.54263565891473,2433.0
120,45,220,215,80,125,300,660,0.9878871800397937,0.9138653234162968,14,1,1,none,short,8.378330373001777,563,4717.0,0.477797513321492,1.0983897209127695,195.75836431226764,-163.06802721088437,6246.0
120,45,50,95,15,35,360,530,0.9339311205796323,0.9015811617667976,14,0,1,none,short,8.37772925764192,458,3837.0,0.4017467248908297,1.0550486356202118,399.66847826086956,-256.25735294117646,11375.0
240,120,95,90,30,65,80,290,0.9771625111648398,1.0021394415508018,30,1,0,none,short,8.375711574952561,527,4414.0,0.5275142314990512,1.1108098609228299,159.16546762589928,-163.92592592592592,4761.0
